time,Pan Position,Tilt Position,Pan Velocity,Tilt Velocity
0.020651019,34.46891785,6.483306885,0.0,0.0
0.042212821,34.46685791,6.483306885,0.0,0.0
0.061789261,34.46617126,6.482620239,0.0,0.0
0.083070679,34.46685791,6.481246948,0.0,
,34.46754456,6.481933594,0.0,0.0
0.120478808,,6.483306885,0.0,
0.141182892,34.46685791,6.48399353,0.0,0.0
,34.46754456,6.481933594,0.0,0.0
0.18465681,34.46754456,,0.0,0.0
0.200880197,34.46891785,6.482620239,0.0,0.0
0.231994588,34.46754456,6.482620239,,0.0
0.24121464,34.46891785,6.483306885,0.0,0.0
0.260691586,34.46617126,6.481933594,0.0,0.0
0.281222048,34.46685791,6.481933594,0.0,0.0
0.304853384,34.46960449,6.481933594,0.0,0.0
0.323335563,34.46617126,6.482620239,0.0,0.0
0.341486819,34.4682312,6.483306885,0.0,0.0
0.360205177,34.4682312,6.481933594,,0.0
0.401677468,34.46960449,6.481933594,0.0,0.0
0.421574846,34.46754456,6.481933594,0.0,0.0
0.44035026,34.4682312,6.482620239,0.0,0.0
0.461923587,34.46685791,6.483306885,0.0,0.0
0.480804766,,6.482620239,0.0,0.0
0.500909025,34.46754456,,0.0,0.0
0.52033777,34.46685791,,0.0,0.0
,34.46754456,6.483306885,0.0,0.0
0.560832664,34.4682312,6.481933594,0.0,0.0
0.58027747,34.46754456,6.482620239,0.0,0.0
0.619706807,34.46617126,6.48399353,0.0,0.0
0.638752287,34.46754456,6.483306885,0.0,0.0
,34.4682312,6.481933594,0.0,
0.671291483,34.46548462,6.483306885,0.0,0.0
0.682204798,34.46685791,6.483306885,0.0,
,34.46548462,6.483306885,0.0,0.0
0.720377192,,,0.0,0.0
0.741299719,34.46754456,6.483306885,0.0,0.0
0.774495417,34.46685791,6.481933594,0.0,0.0
0.783510389,34.46685791,6.481246948,0.0,0.0
0.835070569,34.46685791,6.482620239,0.0,0.0
0.84516747,34.4682312,6.483306885,0.0,0.0
0.86090329,34.46685791,6.481246948,0.0,0.0
0.880643369,34.4682312,6.483306885,0.0,0.0
0.900935703,34.46685791,6.481246948,,0.0
0.92075164,34.46754456,6.482620239,0.0,0.0
0.944051845,34.46754456,6.481933594,0.0,0.0
0.960942819,,6.483306885,0.0,0.0
0.980508521,,6.482620239,0.0,0.0
1.007038517,34.46617126,6.482620239,0.0,0.0
1.027012888,34.46617126,6.482620239,0.0,0.0
1.040225261,34.46685791,6.481246948,0.0,0.0
,34.46891785,6.481246948,,0.0
1.084361159,34.46754456,6.481933594,0.0,0.0
1.111624946,34.46685791,6.483306885,0.0,0.0
1.126882325,34.46754456,,0.0,0.0
1.140007611,34.46685791,6.482620239,0.0,0.0
1.177751809,34.46685791,0.0,0.0,0.0
1.186458685,34.46754456,6.482620239,0.0,0.0
1.201415167,34.46754456,6.482620239,0.0,0.0
1.220612433,,,0.0,0.0
1.240155478,34.4682312,6.482620239,0.0,0.0
1.260696755,,6.482620239,0.0,0.0
1.280619316,34.4682312,,0.0,0.0
1.299991974,,6.482620239,0.0,0.0
1.322246449,34.4682312,6.483306885,0.0,0.0084
,34.4682312,0.0,0.0,0.0036
,,6.483306885,0.0,
1.38116211,34.46754456,6.482620239,,0.0012
1.40297385,34.46685791,6.481933594,0.0,0.0006
1.427300751,34.46685791,6.484680176,0.0,0.0006
1.441581303,34.4682312,6.482620239,0.0,0.0
1.489623168,34.46891785,6.482620239,0.0,0.0
1.489640981,34.46617126,6.482620239,0.0,0.0
1.500395944,34.46754456,6.482620239,-0.019199999,0.0
1.520453061,34.46342468,6.482620239,-0.073799998,0.0
1.544588257,34.45175171,6.483306885,,0.0
1.565559171,0.0,6.482620239,-0.440999985,0.0
,34.42840576,6.482620239,-0.61499995,0.0
